brand,bag name,bag style,handle?,skin type,color,width (in),height (in),depth (in),volume,price ($),website,,,,,,,,,,,,,,
Louis Vitton,Twist one handle BB,"Crossbody Bag, Shoulder Bag, Handbag",1,Leather,Black,7.9,5.1,3.5,141,4450,https://us.louisvuitton.com/eng-us/products/twist-one-handle-bb-high-end-leathers-nvprod3400032v/M59091,,,,,,,,,,,,,,
Louis Vitton,Alma BB,"Crossbody Bag, Handbag",1,Leather,Black,9.3,6.9,4.5,289,2370,https://us.louisvuitton.com/eng-us/products/alma-bb-epi-nvprod2630009v/M59217,,,,,,,,,,,,,,
Louis Vitton,Alma BB 2,"Crossbody Bag, Handbag",1,Canvas,Brown,9.8,7.5,4.7,345,1760,https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-000539/M53152,,,,,,,,,,,,,,
Louis Vitton,Neverfull PM,"Shoulder Bag, Handbag",1,Canvas,Brown,11.4,8.7,5.1,506,1960,https://us.louisvuitton.com/eng-us/products/neverfull-pm-damier-ebene-008117/N41359,,,,,,,,,,,,,,
Louis Vitton,Speedy Bandoulière 20,"Crossbody Bag, Handbag",1,Leather,Black,8.1,5.3,4.7,202,2570,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-20-nvprod3160023v/M58953,,,,,,,,,,,,,,
Louis Vitton,Speedy Bandoulière 20 2,"Crossbody Bag, Handbag",1,Canvas,Brown,7.9,5.1,4.7,189,2030,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-20-monogram-nvprod3190095v/M45957,,,,,,,,,,,,,,
Louis Vitton,NéoNoé BB,"Crossbody Bag, Shoulder Bag, Handbag",1,Leather,Black,7.9,7.9,5.1,318,2300,https://us.louisvuitton.com/eng-us/products/neonoe-bb-epi-nvprod1390056v/M52853,,,,,,,,,,,,,,
Louis Vitton,Noé,Shoulder Bag,0,Canvas,Brown,10.2,13.4,7.5,1025,1960,https://us.louisvuitton.com/eng-us/products/noe-monogram-000570/M42224,,,,,,,,,,,,,,
Louis Vitton,Dauphine Mini handbag,"Crossbody Bag, Shoulder Bag",1,Canvas,Brown,7.9,5.9,3.5,163,3400,https://us.louisvuitton.com/eng-us/products/mini-dauphine-monogram-nvprod1280197v/M44580,,,,,,,,,,,,,,
Louis Vitton,Dauphine Mini handbag 2,"Crossbody Bag, Shoulder Bag",1,Leather,Black,7.9,5.9,3.5,163,3950,https://us.louisvuitton.com/eng-us/products/mini-dauphine-epi-nvprod2010021v/M55964,,,,,,,,,,,,,,
Louis Vitton,Dauphine Chain Wallet,Crossbody Bag,0,Canvas,Brown,7.3,4.7,2,69,2360,https://us.louisvuitton.com/eng-us/products/dauphine-chain-wallet-monogram-nvprod1830148v/M68746,,,,,,,,,,,,,,
Louis Vitton,Onthego PM,"Crossbody Bag, Shoulder Bag, Handbag",1,Leather,Black,9.8,7.5,4.5,331,3250,https://us.louisvuitton.com/eng-us/products/onthegopm-nvprod2630034v/M45653,,,,,,,,,,,,,,
Louis Vitton,Onthego MM,"Shoulder Bag, Handbag",1,Canvas,Brown,13.8,10.6,5.5,805,3100,https://us.louisvuitton.com/eng-us/products/onthego-mm-monogram-nvprod2130189v/M45321,,,,,,,,,,,,,,
Louis Vitton,Petite Malle,Crossbody Bag,0,Canvas,Brown,7.9,4.9,2.4,93,5700,https://us.louisvuitton.com/eng-us/products/petite-malle-monogram-reverse-canvas-nvprod3160043v/M45960,,,,,,,,,,,,,,
Louis Vitton,Pochette Métis,"Crossbody Bag, Handbag",1,Canvas,Brown,9.8,7.5,2.8,206,2570,https://us.louisvuitton.com/eng-us/products/pochette-metis-monogram-nvprod1770372v/M44875,,,,,,,,,,,,,,
Louis Vitton,Mini Boîte Chapeau,Crossbody Bag,0,Canvas,Brown,5.1,4.7,2.6,62,2370,https://us.louisvuitton.com/eng-us/products/mini-boite-chapeau-monogram-nvprod1580020v/M44699,,,,,,,,,,,,,,
Louis Vitton,Bella bucket bag,Crossbody Bag,1,Leather,Black,7.5,8.7,5.5,359,4050,https://us.louisvuitton.com/eng-us/products/bella-mahina-nvprod2410007v/M57070,,,,,,,,,,,,,,
Louis Vitton,Papillon Trunk handbag,Crossbody Bag,1,Canvas,Brown,7.5,3.5,3.5,92,2910,https://us.louisvuitton.com/eng-us/products/papillon-trunk-monogram-nvprod2890004v/M57835,,,,,,,,,,,,,,
Louis Vitton,Marelle handbag,Crossbody Bag,1,Leather,Black,9.8,5.9,3.1,179,2370,https://us.louisvuitton.com/eng-us/products/marelle-epi-nvprod2900160v/M80689,,,,,,,,,,,,,,
Louis Vitton,Sac Plat BB,Crossbody Bag,1,Leather,Black,8.5,8.7,3.5,259,2570,https://us.louisvuitton.com/eng-us/products/sac-plat-bb-epi-nvprod3020017v/M58660,,,,,,,,,,,,,,
Louis Vitton,Cluny Mini handbag,Crossbody Bag,1,Leather,Black,7.9,6.3,3,149,2720,https://us.louisvuitton.com/eng-us/products/cluny-mini-epi-nvprod3160036v/M58925,,,,,,,,,,,,,,
Louis Vitton,Loop handbag,Shoulder Bag,1,Canvas,Brown,9.1,5.1,2.4,111,2370,https://us.louisvuitton.com/eng-us/products/loop-monogram-nvprod3190103v/M81098,,,,,,,,,,,,,,
Louis Vitton,Capucines BB bag,Crossbody Bag,1,Leather,Black,10.6,8.3,3.9,343,6750,https://us.louisvuitton.com/eng-us/products/capucines-bb-taurillon-010428/M94755,,,,,,,,,,,,,,
Louis Vitton,Buci crossbody,Crossbody Bag,1,Leather,Black,9.6,6.1,3.5,205,2230,https://us.louisvuitton.com/eng-us/products/buci-epi-nvprod3400018v/M59386,,,,,,,,,,,,,,
Louis Vitton,Coussin BB,"Crossbody Bag, Shoulder Bag",1,Leather,Black,8.3,6.3,2.8,146,4050,https://us.louisvuitton.com/eng-us/products/coussin-bb-h27-nvprod3190082v/M20574,,,,,,,,,,,,,,
Celine,Bucket 16 bag,Crossbody Bag,1,Leather,Black,9,10,9,810,2650,https://www.celine.com/en-us/celine-shop-women/bags/16/bucket-16-bag-in-smooth-calfskin-195573CR4.38NO.html,,,,,,,,,,,,,,
Celine,Teen soft 16,Crossbody Bag,0,Leather,Black,9,6,4,216,2800,https://www.celine.com/en-us/celine-shop-women/bags/16/teen-soft-16-in-smooth-calfskin-196853CR4.38NO.html,,,,,,,,,,,,,,
Celine,Small Besace 16 bag,Crossbody Bag,0,Leather,Black,7,7,2,98,2250,https://www.celine.com/en-us/celine-shop-women/bags/16/small-besace-16-bag-in-satinated-calfskin-188013BEY.38NO.html,,,,,,,,,,,,,,
Celine,Teen Triomphe bag ,Crossbody Bag,0,Leather,Black,7,6,2,84,3400,https://www.celine.com/en-us/celine-shop-women/bags/triomphe/teen-triomphe-bag-in-shiny-calfskin-188423BF4.38NO.html,,,,,,,,,,,,,,
Celine,Teen Triomphe bag 2,Crossbody Bag,0,Canvas,Brown,7,6,2,84,2950,https://www.celine.com/en-us/celine-shop-women/bags/triomphe/teen-triomphe-bag-in-triomphe-canvas-and-calfskin-188882BZ4.04LU.html,,,,,,,,,,,,,,
Celine,Small bucket cuir Triomphe bag ,"Crossbody Bag, Shoulder Bag",0,Leather,Black,12,9,5,540,2050,https://www.celine.com/en-us/celine-shop-women/bags/cuir-triomphe/small-bucket-cuir-triomphe-in-smooth-calfskin-198243DU3.38NO.html,,,,,,,,,,,,,,
Celine,Folco cuir Triomphe bag ,Crossbody Bag,0,Leather,Black,7,6,3,126,1950,https://www.celine.com/en-us/celine-shop-women/bags/cuir-triomphe/folco-cuir-triomphe-in-smooth-calfskin-198263DU3.38NO.html,,,,,,,,,,,,,,
Celine,Ava bag in Triomphe canvas,Shoulder Bag,0,Canvas,Brown,9,5,2,90,1400,https://www.celine.com/en-us/celine-shop-women/bags/triomphe-canvas/ava-bag-in-triomphe-canvas-and-calfskin-193952BZJ.04LU.html,,,,,,,,,,,,,,
Celine,Nano Belt bag,Crossbody Bag,1,Leather,Black,8,8,4,256,2150,https://www.celine.com/en-us/celine-shop-women/bags/belt-bag/nano-belt-bag-in-grained-calfskin-189003ZVA.38NO.html,,,,,,,,,,,,,,
Celine,Nano Luggage bag,Crossbody Bag,1,Leather,Black,8,8,4,256,2700,https://www.celine.com/en-us/celine-shop-women/bags/luggage/nano-luggage-bag-in-smooth-calfskin-189243HSC.38NO.html,,,,,,,,,,,,,,
Celine,Teen classic bag,Crossbody Bag,0,Leather,Black,7,6,2,84,3400,https://www.celine.com/en-us/celine-shop-women/bags/classic/teen-classic-bag-in-box-calfskin-192523DLS.38NO.html,,,,,,,,,,,,,,
Celine,Small Cabas Phantom,Shoulder Bag,1,Leather,Black,11,12,7,924,1850,https://www.celine.com/en-us/celine-shop-women/bags/cabas/small-cabas-phantom-in-soft-grained-calfskin-189023TNI.38NO.html,,,,,,,,,,,,,,
Celine,Sangle small bucket bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,7,10,5,350,2000,https://www.celine.com/en-us/celine-shop-women/bags/more-lines/sangle-small-bucket-bag-in-soft-grained-calfskin-189303AH4.38NO.html,,,,,,,,,,,,,,
Celine,Small Boston in Triomphe canvas,Crossbody Bag,1,Canvas,Brown,8,6,3,144,1550,https://www.celine.com/en-us/celine-shop-women/bags/triomphe-canvas/small-boston-in-triomphe-canvas-and-calfskin-197582CAS.04LU.html,,,,,,,,,,,,,,
Chanel,Small classic handbag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,9,5.7,2.3,118,8200,https://www.chanel.com/us/fashion/p/A01113Y01864C3906/small-classic-handbag-grained-calfskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,2.55 handbag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,9.4,6.2,2.9,169,8800,https://www.chanel.com/us/fashion/p/A37586Y04634C3906/2-55-handbag-aged-calfskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Chanel 22 small handbag,Shoulder Bag,0,Leather,Black,14.4,13.7,2.7,533,5100,https://www.chanel.com/us/fashion/p/AS3260B08037NH622/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Chanel 19 handbag,Crossbody Bag,1,Leather,Black,10.1,6.2,3.5,219,5700,https://www.chanel.com/us/fashion/p/AS1160B0485294305/chanel-19-handbag-lambskin-gold-tone-silver-tone-ruthenium-finish-metal/,,,,,,,,,,,,,,
Chanel,Small Boy Chanel handbag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,8,4.7,3.3,124,5400,https://www.chanel.com/us/fashion/p/A67085Y0995394305/small-boy-chanel-handbag-calfskin-ruthenium-finish-metal/,,,,,,,,,,,,,,
Chanel,Chanel's Gabrielle small hobo bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,7.8,5.9,3.1,143,5300,https://www.chanel.com/us/fashion/p/AS1521Y6147794305/chanels-gabrielle-hobo-bag-aged-calfskin-smooth-calfskin-gold-tone-silver-tone-ruthenium-finish-metal/,,,,,,,,,,,,,,
Chanel,Small vanity case,Crossbody Bag,1,Leather,Black,5.9,5.1,5.9,178,4800,https://www.chanel.com/us/fashion/p/AS3228B0800894305/small-vanity-case-calfskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Flap bag with top handle,Crossbody Bag,1,Leather,Black,9.8,6.6,4.7,304,6700,https://www.chanel.com/us/fashion/p/A92236B0802794305/flap-bag-with-top-handle-lambskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Small bucket with chain,Crossbody Bag,0,Leather,Black,5.5,4.3,3.1,73,4325,https://www.chanel.com/us/fashion/p/AP2750B0798194305/small-bucket-with-chain-lambskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Mini bowling bag,Crossbody Bag,1,Leather,Black,7.8,5.1,3.9,155,4700,https://www.chanel.com/us/fashion/p/AS3229B0800894305/mini-bowling-bag-calfskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Small flap bag,Crossbody Bag,1,Leather,Black,8.6,6.2,3.1,165,5300,https://www.chanel.com/us/fashion/p/AS3227B0800894305/small-flap-bag-calfskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Small flap bag with metal,Crossbody Bag,1,Leather,Black,9,5.9,2.7,143,6000,https://www.chanel.com/us/fashion/p/AS3241B0801294305/small-flap-bag-lambskin-strass-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Evening bag,Crossbody Bag,1,Leather,Black,7.5,5.5,1.2,50,5100,https://www.chanel.com/us/fashion/p/AS3314B0833794305/evening-bag-grained-lambskin-gold-tone-metal/,,,,,,,,,,,,,,
Chanel,Vanity with chain,Crossbody Bag,0,Leather,Black,6.6,3.7,3.1,76,3600,https://www.chanel.com/us/fashion/p/AP2550B0724294305/vanity-with-chain-goatskin-gold-tone-silver-tone-ruthenium-finish-metal/,,,,,,,,,,,,,,
Dior,Lady Dior pouch,Crossbody Bag,0,Leather,Black,8.5,4.5,1,38,2100,https://www.dior.com/en_us/products/couture-S0204OVRB_M900-lady-dior-pouch-black-patent-cannage-calfskin,,,,,,,,,,,,,,
Dior,Small Lady Dior,Crossbody Bag,1,Leather,Black,8,6.5,3,156,5300,https://www.dior.com/en_us/products/couture-M0538BCAL_M900-small-lady-dior-my-abcdior-bag-black-cannage-lambskin,,,,,,,,,,,,,,
Dior,Lady D-Joy bag,"Crossbody Bag, Shoulder Bag",1,Leather,Black,10,5.5,2,110,4900,https://www.dior.com/en_us/products/couture-M0540ONGE_M900-lady-d-joy-bag-black-cannage-lambskin,,,,,,,,,,,,,,
Dior,Dior Caro round pouch with chain,Crossbody Bag,0,Leather,Black,4.5,4.5,1,20,1300,https://www.dior.com/en_us/products/couture-S5092UWHC_M900-dior-caro-round-pouch-with-chain-black-supple-cannage-calfskin,,,,,,,,,,,,,,
Dior,Dior Caro belt pouch with chain,Crossbody Bag,0,Leather,Black,8.5,4.5,1,38,1750,https://www.dior.com/en_us/products/couture-S5091UWHC_M900-dior-caro-belt-pouch-with-chain-black-supple-cannage-calfskin,,,,,,,,,,,,,,
Dior,Dior Caro double pouch,Crossbody Bag,0,Leather,Black,7.5,4,2,60,2700,https://www.dior.com/en_us/products/couture-S5037UWHC_M900-dior-caro-double-pouch-black-supple-cannage-calfskin,,,,,,,,,,,,,,
Dior,Small Dior Caro bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,8,5,3,120,4000,https://www.dior.com/en_us/products/couture-M9241UWHC_M900-small-dior-caro-bag-black-supple-cannage-calfskin,,,,,,,,,,,,,,
Dior,2-in-1 30 Montaigne pouch,Crossbody Bag,0,Leather,Black,7.5,5,1.5,56,2000,https://www.dior.com/en_us/products/couture-S2086OBAE_M900-2-in-1-30-montaigne-pouch-black-grained-calfskin,,,,,,,,,,,,,,
Dior,30 Montaigne box bag,Crossbody Bag,0,Leather,Black,7,4.5,2,63,3500,https://www.dior.com/en_us/products/couture-M9204UMOS_M911-30-montaigne-box-bag-black-box-calfskin,,,,,,,,,,,,,,
Dior,30 Montaigne bag,Crossbody Bag,0,Leather,Black,9.5,6.5,3,185,3800,https://www.dior.com/en_us/products/couture-M9203UMOS_M911-30-montaigne-bag-black-box-calfskin,,,,,,,,,,,,,,
Dior,Small Dior book tote,Handbag,1,Canvas,Blue,10.5,8.5,5.5,491,3250,https://www.dior.com/en_us/products/couture-M1265ZRIW_M928-small-dior-book-tote-blue-dior-oblique-embroidery-26.5-x-21-x-14-cm,,,,,,,,,,,,,,
Dior,Saddle wallet,Crossbody Bag,0,Leather,Black,7.5,4.5,1,34,1400,https://www.dior.com/en_us/products/couture-S5614CCEH_M900-saddle-wallet-black-goatskin,,,,,,,,,,,,,,
Dior,Saddle pouch,Crossbody Bag,0,Canvas,Blue,8.5,5.5,1.5,70,2150,https://www.dior.com/en_us/products/couture-S5620CTZQ_M928-saddle-pouch-blue-dior-oblique-jacquard,,,,,,,,,,,,,,
Dior,Saddle double pouch,Crossbody Bag,0,Canvas,Blue,7.5,4,2,60,2450,https://www.dior.com/en_us/products/couture-S5668CTZQ_M928-saddle-double-pouch-blue-dior-oblique-jacquard,,,,,,,,,,,,,,
Dior,Saddle bag,Crossbody Bag,1,Leather,Black,10,8,3,240,3800,https://www.dior.com/en_us/products/couture-M0446CBAA_M900-saddle-bag-black-grained-calfskin,,,,,,,,,,,,,,
Dior,Dior Bobby East-West bag,Crossbody Bag,0,Leather,Black,8.5,5,2,85,3400,https://www.dior.com/en_us/products/couture-M9327UMOL_M900-dior-bobby-east-west-bag-black-box-calfskin,,,,,,,,,,,,,,
Dior,Small Dior Bobby bag,Crossbody Bag,0,Leather,Black,7,5.5,2,77,3500,https://www.dior.com/en_us/products/couture-M9317UMOL_M900-small-dior-bobby-bag-black-box-calfskin,,,,,,,,,,,,,,
Dior,DiorTravel vanity case,Handbag,1,Canvas,Blue,9.5,6.5,5.5,340,2300,https://www.dior.com/en_us/products/couture-S5480VRIW_M928-diortravel-vanity-case-blue-dior-oblique-embroidery?objectID=S5480VRIW_M928&query=DiorTravel%20vanity%20case&queryID=143086426abf8f4a0259541fd7bd66db,,,,,,,,,,,,,,
Saint Laurent,Le 5 À 7 hobo bag,Shoulder Bag,0,Leather,Black,9,6.2,2.5,140,2150,https://www.ysl.com/en-us/shoulder-bags/le-5-a-7-hobo-bag-in-smooth-leather-6572282R20W1000.html,,,,,,,,,,,,,,
Saint Laurent,Le Maillon small chain bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,9.8,7.8,2.4,183,1950,https://www.ysl.com/en-us/shoulder-bags/le-maillon-small-chain-bag-in-quilted-lambskin-6693081EL071000.html,,,,,,,,,,,,,,
Saint Laurent,Le Maillon hook bucket bag,Crossbody Bag,0,Leather,Black,7.5,10.6,4.7,374,2250,https://www.ysl.com/en-us/satchel-and-bucket-bags/le-maillon-hook-bucket-bag-in-supple-leather-686310AAAJK1000.html,,,,,,,,,,,,,,
Saint Laurent,Le Maillon round chain bag,Crossbody Bag,0,Leather,Black,6.7,6.7,1.2,54,2290,https://www.ysl.com/en-us/le-maillon-round-chain-bag-in-lambskin-6726721EL071000.html,,,,,,,,,,,,,,
Saint Laurent,Le Maillon Satchel,Crossbody Bag,0,Leather,Black,10.6,4.9,1.9,99,2650,https://www.ysl.com/en-us/satchel-and-bucket-bags/le-maillon-satchel-in-smooth-leather-6497952R20W1000.html,,,,,,,,,,,,,,
Saint Laurent,Gaby Satchel,"Crossbody Bag, Shoulder Bag",0,Leather,Black,10.2,7,2,143,2350,https://www.ysl.com/en-us/shoulder-bags/gaby-satchel-in-quilted-lambskin-6688631EL071000.html,,,,,,,,,,,,,,
Saint Laurent,Niki baby bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,8.2,6.2,2.9,147,2290,https://www.ysl.com/en-us/niki/niki-baby-in-crinkled-vintage-leather-6331600EN041000.html,,,,,,,,,,,,,,
Saint Laurent,Lou camera bag,Crossbody Bag,0,Leather,Black,9,6.2,2.3,128,1490,https://www.ysl.com/en-us/crossbody-bags/lou-camera-bag-in-quilted-leather-612544DV7071000.html,,,,,,,,,,,,,,
Saint Laurent,Kate small chain bag,Crossbody Bag,0,Leather,Black,7.8,4.9,1.9,73,1750,https://www.ysl.com/en-us/crossbody-bags/kate-small-chain-bag-in-grain-de-poudre-embossed-leather-469390BOW0J1000.html,,,,,,,,,,,,,,
Saint Laurent,Kate small chain bag with tassel,Crossbody Bag,0,Leather,Black,7.8,4.9,1.9,73,2150,https://www.ysl.com/en-us/crossbody-bags/kate-small-chain-bag-with-tassel-in-grain-de-poudre-embossed-leather-474366BOW0J1000.html,,,,,,,,,,,,,,
Saint Laurent,Kate 99 supple bag,Shoulder Bag,0,Leather,Black,10.2,5.3,1.7,92,1750,https://www.ysl.com/en-us/shoulder-bags/kate-99-supple-bag-in-quilted-lambskin-6606181ELX61000.html,,,,,,,,,,,,,,
Saint Laurent,Cassandra mini top handle bag,Crossbody Bag,1,Leather,Black,7.8,6.2,2.9,140,2250,https://www.ysl.com/en-us/top-handles/cassandra-mini-top-handle-bag-in-grain-de-poudre-embossed-leather-623930BOW0W1000.html,,,,,,,,,,,,,,
Saint Laurent,Cassandra medium chain bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,8.6,6.4,2.1,116,2800,https://www.ysl.com/en-us/shoulder-bags/cassandra-medium-chain-bag-in-smooth-leather-5327500SX0W1000.html,,,,,,,,,,,,,,
Saint Laurent,Loulou small bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,9.8,6.6,3.5,226,2290,https://www.ysl.com/en-us/shoulder-bags/loulou-small-bag-in-matelasse--y--leather-494699DV7271000.html,,,,,,,,,,,,,,
Saint Laurent,Puffer small bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,11.4,6.6,4.3,324,2490,https://www.ysl.com/en-us/shoulder-bags/puffer-small-bag-in-quilted-lambskin-5774761EL071000.html,,,,,,,,,,,,,,
Saint Laurent,Solferino small satchel,Crossbody Bag,0,Leather,Black,7.4,5.1,1.9,72,2650,https://www.ysl.com/en-us/satchel-and-bucket-bags/solferino-small-satchel-in-box-saint-laurent-leather-6343060SX0W1000.html,,,,,,,,,,,,,,
Saint Laurent,Envelope small bag,Crossbody Bag,0,Leather,Black,8.2,5.1,2.3,96,2290,https://www.ysl.com/en-us/crossbody-bags/envelope-small-bag-in-mix-matelasse-grain-de-poudre-embossed-leather-600195BOW911000.html,,,,,,,,,,,,,,
Saint Laurent,Sunset medium chain bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,8.6,6.2,3.1,165,2390,https://www.ysl.com/en-us/shoulder-bags/sunset-medium-chain-bag-in-smooth-leather-442906D420W1000.html,,,,,,,,,,,,,,
